Torre de magia nível 1	Entrar numa torre de magia permite a um herói visitante aprender os feitiços mantidos dentro dela.
Torre de magia nível 2	Entrar numa torre de magia permite a um herói visitante aprender os feitiços mantidos dentro dela.
Torre de magia nível 3	Entrar numa torre de magia permite a um herói visitante aprender os feitiços mantidos dentro dela.
Torre de magia nível 4	Entrar numa torre de magia permite a um herói visitante aprender os feitiços mantidos dentro dela.
Torre de magia nível 5	Entrar numa torre de magia permite a um herói visitante aprender os feitiços mantidos dentro dela.
Taverna	A taverna possibilita a contratação de heróis, ouvir as últimas fofocas e visitar a toca dos ladrões. Ela também aumenta a moral das tropas defendendo a cidade.
Porto	O porto permite a você construir navios.
Forte	O forte provê muralhas defensivas à cidade.
Cidadela	"A cidadela aumenta em 50% o crescimento base de criaturas da cidade e ao defender a cidade, acrescenta uma torre central e obstáculos."
Castelo	"O castelo adiciona duas torres de defesa, fortifica as defesas da cidade e duplica o crescimento base de criaturas da cidade."
Sede do povoado	A sede do povoado permite que você possa construir estruturas na cidade e juntar 500 ouros por dia aos tesouros do seu reino.
Sede da vila	A sede da vila permite que você possa construir estruturas na cidade e juntar 1000 ouros por dia aos tesouros do seu reino.
Sede da cidade	A sede da cidade permite que você possa construir estruturas na cidade e juntar 2000 ouros por dia aos tesouros do seu reino.
Capitólio	O capitólio permite que você possa construir estruturas na cidade e juntar 4000 ouros por dia aos tesouros do seu reino.
Mercado	"Com um mercado, você pode comprar e vender recursos (as taxas melhoram com cada mercado a mais que você tiver)."
	
Ferreiro	O ferreiro provê %s aos seus exércitos.
Fosso	O fosso reduz a velocidade de unidades atacantes.  Qualquer unidade que entre no fosso, encerrará lá o seu turno e ficará mais vulnerável a ataques.
Porto com navio	O porto permite a você construir navios.
Ferreiro	O ferreiro provê balistas aos seus exércitos.
Ferreiro	O ferreiro provê tendas médicas aos seus exércitos.
Ferreiro	O ferreiro provê carrinhos de munição aos seus exércitos.
Ferreiro	O ferreiro provê carrinhos de munição aos seus exércitos.
Ferreiro	O ferreiro provê tendas médicas aos seus exércitos.
Ferreiro	O ferreiro provê balistas aos seus exércitos.
Ferreiro	O ferreiro provê carrinhos de munição aos seus exércitos.
Ferreiro	O ferreiro provê tendas médicas aos seus exércitos.
Ferreiro	O ferreiro provê balistas aos seus exércitos.
Ferreiro	O ferreiro provê máquinas de guerra aos seus exércitos.
