Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Piqueiro	Piqueiros	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50	Imune ao bônus de distância.	0
Alabardeiro	Alabardeiros	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30	Imune ao bônus de distância.	0
Arqueiro	Arqueiros	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30	Atira.	SHOOTING_ARMY
Atirador	Atiradores	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Atira duas vezes.	const_two_attacks | SHOOTING_ARMY
Grifo	Grifos	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Voa. Retalia duas vezes.	DOUBLE_WIDE | FLYING_ARMY
Grifo Real	Grifos Reais	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Voa. Retalia ilimitadamente.	DOUBLE_WIDE|FLYING_ARMY
Espadachim	Espadachins	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Cruzado	Cruzados	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Golpeia duas vezes.	const_two_attacks
Monge	Monges	0	0	0	0	0	0	400	485	582	3	0	30	5	12	7	10	12	12	0	8	16	Atira.	SHOOTING_ARMY
Zelote	Zelotes	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Atira. Sem penalidade no corpo-a-corpo.	SHOOTING_ARMY | const_no_melee_penalty
Cavaleiro	Cavaleiros	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Bônus de distância.	DOUBLE_WIDE | const_jousting
Campeão	Campeões	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Bônus de distância.	DOUBLE_WIDE | const_jousting
Anjo	Anjos	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Voa. +1 de moral. Odeia Diabos.	FLYING_ARMY | const_raises_morale | KING_2
Arcanjo	Arcanjos	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	Voa. +1 de moral. Odeia Diabos. Ressuscita aliados.	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
Centauro	Centauros	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
Centauro Capitão	Centauros Capitães	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
Anão	Anões	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% de chance de resistir a feitiços hostis.	0
Anão de Batalha	Anões de Batalha	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% de chance de resistir a feitiços hostis.	0
Elfo da Floresta	Elfos da Floresta	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25	Atira.	SHOOTING_ARMY
Grande Elfo	Grandes Elfos	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Atira duas vezes.	SHOOTING_ARMY | const_two_attacks
Pégaso	Pégasos	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Voa. Aumenta o custo dos feitiços inimigos em 2 pontos de magia cada.	DOUBLE_WIDE | FLYING_ARMY
Pégaso de Prata	Pégasos de Prata	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Voa. Aumenta o custo dos feitiços inimigos em 2 pontos de magia cada.	DOUBLE_WIDE | FLYING_ARMY
Guarda Dendróide	Guardas Dendróides	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Prende seus inimigos no lugar.	0
Soldado Dendróide	Soldados Dendróides	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Prende seus inimigos no lugar.	0
Unicórnio	Unicórnios	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Aumenta a resistência a feitiços hostis das unidades próximas em 20%. Ataque cegante.	DOUBLE_WIDE
Unicórnio de Guerra	Unicórnios de Guerra	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Aumenta a resistência a feitiços hostis das unidades próximas em 20%. Ataque cegante.	DOUBLE_WIDE
Dragão Verde	Dragões Verdes	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Voa. Ataque longo. Imune a feitiços de níveis 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Dragão Dourado	Dragões Dourados	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Voa. Ataque longo. Imune a feitiços de níveis 1-4.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Gremlin	Gremlins	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Gremlin Mestre	Gremlins Mestres	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Atira.	SHOOTING_ARMY
Gárgula de Pedra	Gárgulas de Pedra	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30	Sem sangue. Voa.	FLYING_ARMY
Gárgula de Obsidiana	Gárgulas de Obsidiana	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25	Sem sangue. Voa.	FLYING_ARMY
