	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Orrin	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Valesca	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Édrico	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Sílvia	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Lorde Haarte	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Sorsha	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Cristiano	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Tyris	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Rion	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Adela	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Cutiberto	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Adelaide	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Ingam	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Sânia	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Loynis	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Caitlina	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Mefala	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ufretino	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Jenova	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ryland	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Torgrim	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ívor	12	24	Centaur	2	4	WoodElf	2	4	WoodElf
Clancy	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Kirre	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Corônio	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ulando	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Eleshar	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Gema	12	24	Centaur	1	1	FirstAidTent	2	4	WoodElf
Malcom	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Melodia	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Alagar	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Aéris	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Piquedram	5	7	StoneGargoyle	5	7	StoneGargoyle	5	7	StoneGargoyle
Thane	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Josefine	30	40	ApprenticeGremlin	4	5	IronGolem	4	5	IronGolem
Nila	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Torosar	30	40	ApprenticeGremlin	1	1	Ballista	4	5	IronGolem
Fagner	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Rissa	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Iona	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Astral	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Halon	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Serena	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Daremite	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Teodoro	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Solmyr	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Cyra	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Aine	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Fiona	20	30	Imp	3	4	HellHound	3	4	HellHound
