			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Chamar barco	Chamar barco	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Chamar barco}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.

Chances for success are 50%.
"	"{Chamar barco básico}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.

Chances for success are 50%.
"	"{Chamar barco avançado}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.  If no such boats exist, one is created.

Chances for success are 75%.
"	"{Chamar barco expert}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.  If no such boats exist, one is created.
"	 ADV_SPELL
Afundar barco	Afundar barco	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Afundar barco}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.

Chances for success are 50%.
"	"{Afundar barco básico}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.

Chances for success are 50%.
"	"{Afundar barco avançado}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.

Chances for success are 75%.
"	"{Afundar barco expert}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.
"	 ADV_SPELL
Visões	Visões	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Visões}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed). Range is equal to Spell Power or three, whichever is greater. Valid for 1 turn.
"	"{Visões básico}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed). Range is equal to Spell Power or three, whichever is greater. Valid for 1 turn.
"	"{Visões avançado}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed).  Allows you to view a nearby enemy hero's general statistics, creature type and quantity, as if the hero was part of your kingdom. Range is (Spell Power x 2) or three, whichever is greater. Valid for 1 turn.
"	"{Visões expert}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed).  Allows you to view a nearby enemy hero's general statistics, creature type and quantity, as if the hero was part of your kingdom, as well as a nearby town's statistics, garrison creatures and quantity. Range is (Spell Power x 3) or three, whichever is greater. Valid for 1 turn.
"	 ADV_SPELL
Ver terra	Ver terra	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Ver terra}

Reveals the location of all resources to the caster.
"	"{Ver terra básico}

Reveals the location of all resources to the caster.
"	"{Ver terra avançado}

Reveals the location of all resources and mines to the caster.
"	"{Ver terra expert}

Reveals the location of all resources and mines and reveals all terrain to the caster.
"	 ADV_SPELL
Disfarce	Disfarce	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Disfarce}

Makes all units in your hero army look like your most powerful unit to enemies trying to view your hero for 1 turn.  Numbers in each group are unchanged.
"	"{Disfarce básico}

Makes all units in your hero army look like your most powerful unit to enemies trying to view your hero for 1 turn.  Numbers in each group are unchanged.
"	"{Disfarce avançado}

Makes all units in your hero army look like your most powerful unit to enemies trying to view your hero for 1 turn.  Numbers in each group appear as zero.
"	"{Disfarce expert}

Makes all units in your hero army look like the most powerful unit affiliated to player starting town to enemies trying to view your hero for 1 turn.  Numbers in each group appear as zero.
"	 ADV_SPELL
Ver ar	Ver ar	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Ver ar}

Reveals the location of all unclaimed artifacts to the caster.
"	"{Ver ar básico}

Reveals the location of all unclaimed artifacts to the caster.
"	"{Ver ar avançado}

Reveals the location of all unclaimed artifacts, plus enemy heroes to the caster.
"	"{Ver ar expert}

Reveals the location of all unclaimed artifacts, plus enemy heroes and all towns to the caster.
"	 ADV_SPELL
